state,year,visitor_type,rank,destination
Johor,2024,domestic_visitors,1,Paradigm Mall Johor Bahru
Johor,2024,domestic_visitors,2,Toppen Shopping Centre
Johor,2024,domestic_visitors,3,Legoland Malaysia
Johor,2024,domestic_visitors,4,Air Terjun Gunung Ledang
Johor,2024,domestic_visitors,5,"The Mall, Mid Valley Southkey"
Johor,2024,tourists,1,Johor Premium Outlets
Johor,2024,tourists,2,Adventure Waterpark Desaru Coast
Johor,2024,tourists,3,Pantai Tanjung Balau
Johor,2024,tourists,4,KSL City Mall
Johor,2024,tourists,5,Legoland Malaysia
Johor,2025,domestic_visitors,1,Toppen Shopping Centre
Johor,2025,domestic_visitors,2,Paradigm Mall Johor Bahru
Johor,2025,domestic_visitors,3,Pantai Desaru
Johor,2025,domestic_visitors,4,"The Mall, Mid Valley Southkey"
Johor,2025,domestic_visitors,5,Johor Premium Outlets
Johor,2025,tourists,1,Johor Premium Outlets
Johor,2025,tourists,2,Pantai Desaru
Johor,2025,tourists,3,Toppen Shopping Centre
Johor,2025,tourists,4,Stadium Sultan Ibrahim
Johor,2025,tourists,5,Pantai Air Papan
Kedah,2024,domestic_visitors,1,Aman Central Mall
Kedah,2024,domestic_visitors,2,Amanjaya Mall
Kedah,2024,domestic_visitors,3,Pantai Cenang
Kedah,2024,domestic_visitors,4,Dataran Lang
Kedah,2024,domestic_visitors,5,Pantai Tanjung Dawai
Kedah,2024,tourists,1,Pantai Cenang
Kedah,2024,tourists,2,Aman Central Mall
Kedah,2024,tourists,3,Gunung Jerai
Kedah,2024,tourists,4,Amanjaya Mall
Kedah,2024,tourists,5,Underwater World Langkawi
Kedah,2025,domestic_visitors,1,Aman Central Mall
Kedah,2025,domestic_visitors,2,Pantai Tanjung Dawai
Kedah,2025,domestic_visitors,3,Pantai Merdeka
Kedah,2025,domestic_visitors,4,Pantai Cenang
Kedah,2025,domestic_visitors,5,Gunung Jerai
Kedah,2025,tourists,1,Pantai Cenang
Kedah,2025,tourists,2,Langkawi Cable Car
Kedah,2025,tourists,3,Pantai Tanjung Dawai
Kedah,2025,tourists,4,Aman Central Mall
Kedah,2025,tourists,5,Gunung Jerai
Kelantan,2024,domestic_visitors,1,AEON Lembah Sireh
Kelantan,2024,domestic_visitors,2,Pasar Siti Khadijah
Kelantan,2024,domestic_visitors,3,KB Mall
Kelantan,2024,domestic_visitors,4,Pasar Malam Wakaf Che Yeh
Kelantan,2024,domestic_visitors,5,Pantai Cahaya Bulan
Kelantan,2024,tourists,1,Pasar Siti Khadijah
Kelantan,2024,tourists,2,Pantai Melawi
Kelantan,2024,tourists,3,AEON Lembah Sireh
Kelantan,2024,tourists,4,Zon Bebas Cukai Rantau Panjang
Kelantan,2024,tourists,5,KB Mall
Kelantan,2025,domestic_visitors,1,AEON Lembah Sireh
Kelantan,2025,domestic_visitors,2,Pasar Siti Khadijah
Kelantan,2025,domestic_visitors,3,KB Mall
Kelantan,2025,domestic_visitors,4,Pantai Tapang
Kelantan,2025,domestic_visitors,5,Pantai Melawi
Kelantan,2025,tourists,1,Pasar Siti Khadijah
Kelantan,2025,tourists,2,AEON Lembah Sireh
Kelantan,2025,tourists,3,Pantai Tapang
Kelantan,2025,tourists,4,Zon Bebas Cukai Rantau Panjang
Kelantan,2025,tourists,5,Pantai Nami Bachok
Melaka,2024,domestic_visitors,1,Pantai Klebang
Melaka,2024,domestic_visitors,2,Jonker Street
Melaka,2024,domestic_visitors,3,Mahkota Parade
Melaka,2024,domestic_visitors,4,Dataran Pahlawan Melaka Megamall
Melaka,2024,domestic_visitors,5,Zoo Melaka & Night Safari
Melaka,2024,tourists,1,Jonker Street
Melaka,2024,tourists,2,Pantai Klebang
Melaka,2024,tourists,3,Dataran Pahlawan Melaka Megamall
Melaka,2024,tourists,4,Freeport A' Famosa Outlet
Melaka,2024,tourists,5,Zoo Melaka & Night Safari
Melaka,2025,domestic_visitors,1,AEON MALL Bandaraya Melaka
Melaka,2025,domestic_visitors,2,Dataran Pahlawan Melaka Megamall
Melaka,2025,domestic_visitors,3,Pantai Klebang
Melaka,2025,domestic_visitors,4,Freeport A' Famosa Outlet
Melaka,2025,domestic_visitors,5,Jonker Walk
Melaka,2025,tourists,1,Jonker Street
Melaka,2025,tourists,2,Pantai Klebang
Melaka,2025,tourists,3,Dataran Pahlawan Melaka Megamall
Melaka,2025,tourists,4,A'Famosa (Porta de Santiago)
Melaka,2025,tourists,5,The Stadthuys
Negeri Sembilan,2024,domestic_visitors,1,Palm Mall Seremban
Negeri Sembilan,2024,domestic_visitors,2,City Park Seremban 2
Negeri Sembilan,2024,domestic_visitors,3,Dataran Nilai
Negeri Sembilan,2024,domestic_visitors,4,Pantai Teluk Kemang
Negeri Sembilan,2024,domestic_visitors,5,Pantai Port Dickson
Negeri Sembilan,2024,tourists,1,Pantai Teluk Kemang
Negeri Sembilan,2024,tourists,2,PD Ostrich Show Farm
Negeri Sembilan,2024,tourists,3,Pantai Cahaya Negeri
