destination,appearances,states
AEON Lembah Sireh,2,Kelantan
Alamanda Shopping Centre,2,W.P. Putrajaya
Aman Central Mall,2,Kedah
Arked Niaga Padang Besar,2,Perlis
Cameron Highlands,2,Pahang
Concubine Lane,2,Perak
Daesco Star Mega Mall,2,Sarawak
Dataran Labuan,2,W.P. Labuan
Dataran Pahlawan Melaka Megamall,2,Melaka
East Cost Mall,2,Pahang
Genting Highlands,2,Pahang
Gunung Jerai,2,Kedah
IOI City Mall,2,Selangor
Imago Shopping Mall,2,Sabah
Johor Premium Outlets,2,Johor
KTCC Mall,2,Terengganu
Kampung Patau-Patau,2,W.P. Labuan
Kuching Waterfront,2,Sarawak
Masjid Putra,2,W.P. Putrajaya
Masjid Sri Sendayan,2,Negeri Sembilan
Mid Valley Megamall,2,W.P. Kuala Lumpur
PD Water Front,2,Negeri Sembilan
Padang Waremart,2,Perlis
Pantai Batu Buruk,2,Terengganu
Pantai Cenang,2,Kedah
Pantai Desaru,2,Johor
Pantai Klebang,2,Melaka
Pantai Penarik,2,Terengganu
Pantai Tanjung Dawai,2,Kedah
Pantai Tapang,2,Kelantan
Pantai Teluk Cempedak,2,Pahang
Pantai Teluk Kemang,2,Negeri Sembilan
Pasar Besar Kedai Payang,2,Terengganu
Pasar Siti Khadijah,2,Kelantan
Pavilion Kuala Lumpur,2,W.P. Kuala Lumpur
Queensbay Mall,2,Pulau Pinang
Taman Saujana Hijau,2,W.P. Putrajaya
Teluk Batik,2,Perak
Toppen Shopping Centre,2,Johor
Vivacity Megamall,2,Sarawak
Wang Kelian View Point,2,Perlis
1 Utama Shopping Centre,1,Selangor
A'Famosa (Porta de Santiago),1,Melaka
AEON MALL Bandaraya Melaka,1,Melaka
AEON Mall Nilai,1,Negeri Sembilan
Armenian Street,1,Pulau Pinang
Axiata Arena Bukit Jalil,1,W.P. Kuala Lumpur
Bangi Wonderland,1,Selangor
Bazar Karat Ipoh,1,Perak
Berjaya Times Square,1,W.P. Kuala Lumpur
Bukit Bendera,1,Pulau Pinang
Cruise Tasik Putrajaya,1,W.P. Putrajaya
Darul Hana Bridge,1,Sarawak
Dataran Putra,1,W.P. Putrajaya
Dataran Putrajaya,1,W.P. Putrajaya
Desa Dairy Farm,1,Sabah
ESCAPE,1,Pulau Pinang
Freeport A' Famosa Outlet,1,Melaka
Gurney Plaza,1,Pulau Pinang
Ikea Damansara,1,Selangor
Ipoh Night Market,1,Perak
Ipoh Parade Shopping Centre,1,Perak
Jonker Street,1,Melaka
Jonker Walk,1,Melaka
KB Mall,1,Kelantan
Kampung Wai Kuala Perlis,1,Perlis
Kek Lok Si Temple,1,Pulau Pinang
Kompleks Sukan Laut Antarabangsa Labuan,1,W.P. Labuan
Kompleks Ujana Kewangan,1,W.P. Labuan
Kuantan City Mall,1,Pahang
Langkawi Cable Car,1,Kedah
Lost World of Tambun,1,Perak
Medan Ikan Bakar Kuala Perlis,1,Perlis
Memorial Perang Dunia Kedua,1,W.P. Labuan
Mitsui Outlet Park,1,Selangor
Nat Pokok Getah,1,Perlis
Pantai Air Papan,1,Johor
Pantai Anjung Aru,1,Sabah
Pantai Batu Ferringhi,1,Pulau Pinang
Pantai Cahaya Negeri,1,Negeri Sembilan
Pantai Cherating,1,Pahang
Pantai Layang-Layang,1,W.P. Labuan
Pantai Melawi,1,Kelantan
Pantai Merdeka,1,Kedah
Pantai Nami Bachok,1,Kelantan
Pantai Pohon Batu,1,W.P. Labuan
Pantai Port Dickson,1,Negeri Sembilan
Pantai Tanjung Aru,1,Sabah
Pantai Teluk Bahang,1,Pulau Pinang
Pantai Teluk Ketapang,1,Terengganu
Paradigm Mall Johor Bahru,1,Johor
Pasar Sentral Sibu,1,Sarawak
Pekan Nabalu,1,Sabah
Pulau Mabul,1,Sabah
Pulau Pangkor,1,Perak
SOGO,1,W.P. Kuala Lumpur
Setia City Mall,1,Selangor
Sibu Night Market,1,Sarawak
Stadium Nasional Bukit Jalil,1,W.P. Kuala Lumpur
Stadium Sultan Ibrahim,1,Johor
Sungai Melangkap,1,Sabah
Sunway Carnival Mall,1,Pulau Pinang
Sunway Lagoon,1,Selangor
Sunway Pyramid,1,Selangor
Suria KLCC,1,W.P. Kuala Lumpur
Taman Botani,1,W.P. Putrajaya
Taman Eko Rimba Gunung Datuk,1,Negeri Sembilan
Taman Eko-Rimba Bukit Ayer,1,Perlis
Taman Laut Labuan,1,W.P. Labuan
Taman Marin Tun Sakaran,1,Sabah
Taman Marin Tunku Abdul Rahman,1,Sabah
Tasik Cermin,1,Perak
Terengganu Drawbridge,1,Terengganu
The Exchange TRX,1,W.P. Kuala Lumpur
"The Mall, Mid Valley Southkey",1,Johor
The Spring Mall Bintulu,1,Sarawak
The Stadthuys,1,Melaka
Zon Bebas Cukai Rantau Panjang,1,Kelantan
Zoo Negara Malaysia,1,Selangor
