state,district,year,population_000,income_mean,income_median,expenditure_mean,gini,poverty,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio,gdp_real_p0,google_trend_annual_avg,google_trend_yoy_change
Johor,Batu Pahat,2025,511.8,,,,,,,,,,,,,,10.0,-1.083333333333334
Johor,Johor Bahru,2025,1814.4,,,,,,,,,,,,,,,
Johor,Kluang,2025,335.2,,,,,,,,,,,,,,5.75,0.083333333333333
Johor,Kota Tinggi,2025,234.7,,,,,,,,,,,,,,51.583333333333336,-2.5
Johor,Kulai,2025,353.0,,,,,,,,,,,,,,6.083333333333333,-0.1666666666666669
Johor,Mersing,2025,81.4,,,,,,,,,,,,,,38.583333333333336,-0.4166666666666643
Johor,Muar,2025,323.9,,,,,,,,,,,,,,10.583333333333334,-1.25
Johor,Pontian,2025,177.9,,,,,,,,,,,,,,6.333333333333333,-1.416666666666667
Johor,Segamat,2025,204.3,,,,,,,,,,,,,,3.9166666666666665,0.25
Johor,Tangkak,2025,169.2,,,,,,,,,,,,,,2.833333333333333,0.0833333333333334
Kedah,Baling,2025,149.0,,,,,,,,,,,,,,0.9166666666666666,-0.0833333333333333
Kedah,Bandar Baharu,2025,45.6,,,,,,,,,,,,,,0.0,0.0
Kedah,Kota Setar,2025,383.4,,,,,,,,,,,,,,0.0833333333333333,0.0833333333333333
Kedah,Kuala Muda,2025,574.7,,,,,,,,,,,,,,0.0,0.0
Kedah,Kubang Pasu,2025,254.2,,,,,,,,,,,,,,0.0,0.0
Kedah,Kulim,2025,354.0,,,,,,,,,,,,,,0.6666666666666666,0.0
Kedah,Langkawi,2025,100.5,,,,,,,,,,,,,,43.66666666666666,2.1666666666666643
Kedah,Padang Terap,2025,67.9,,,,,,,,,,,,,,0.0,0.0
Kedah,Pendang,2025,102.0,,,,,,,,,,,,,,2.833333333333333,-0.4166666666666665
Kedah,Pokok Sena,2025,51.2,,,,,,,,,,,,,,0.0,0.0
Kedah,Sik,2025,70.5,,,,,,,,,,,,,,2.75,0.5833333333333335
Kedah,Yan,2025,75.1,,,,,,,,,,,,,,7.916666666666667,0.666666666666667
Kelantan,Bachok,2025,167.6,,,,,,,,,,,,,,1.75,-1.4166666666666663
Kelantan,Gua Musang,2025,111.3,,,,,,,,,,,,,,2.083333333333333,-0.083333333333333
Kelantan,Jeli,2025,58.2,,,,,,,,,,,,,,3.1666666666666665,0.083333333333333
Kelantan,Kecil Lojing,2025,11.7,,,,,,,,,,,,,,0.0,0.0
Kelantan,Kota Bharu,2025,590.1,,,,,,,,,,,,,,30.416666666666668,-0.8333333333333321
Kelantan,Kuala Krai,2025,112.4,,,,,,,,,,,,,,0.3333333333333333,-3.083333333333333
Kelantan,Machang,2025,117.7,,,,,,,,,,,,,,2.083333333333333,0.3333333333333335
Kelantan,Pasir Mas,2025,242.7,,,,,,,,,,,,,,0.5,-0.5
Kelantan,Pasir Puteh,2025,144.7,,,,,,,,,,,,,,2.833333333333333,0.0
Kelantan,Tanah Merah,2025,159.9,,,,,,,,,,,,,,6.416666666666667,0.5833333333333339
Kelantan,Tumpat,2025,191.2,,,,,,,,,,,,,,0.3333333333333333,0.0
Melaka,Alor Gajah,2025,261.8,,,,,,,,,,,,,,1.0,0.0833333333333333
Melaka,Jasin,2025,157.3,,,,,,,,,,,,,,1.1666666666666667,-0.5833333333333333
Melaka,Melaka Tengah,2025,633.3,,,,,,,,,,,,,,0.0,0.0
Negeri Sembilan,Jelebu,2025,48.6,,,,,,,,,,,,,,0.0,0.0
Negeri Sembilan,Jempol,2025,130.9,,,,,,,,,,,,,,,
Negeri Sembilan,Kuala Pilah,2025,72.5,,,,,,,,,,,,,,0.0833333333333333,0.0833333333333333
Negeri Sembilan,Port Dickson,2025,135.6,,,,,,,,,,,,,,36.75,-3.583333333333336
Negeri Sembilan,Rembau,2025,49.5,,,,,,,,,,,,,,1.1666666666666667,-0.1666666666666665
Negeri Sembilan,Seremban,2025,716.8,,,,,,,,,,,,,,9.25,-0.75
Negeri Sembilan,Tampin,2025,90.7,,,,,,,,,,,,,,1.1666666666666667,-0.25
Pahang,Bentong,2025,120.0,,,,,,,,,,,,,,5.666666666666667,0.0833333333333339
Pahang,Bera,2025,101.3,,,,,,,,,,,,,,1.5,-0.1666666666666667
Pahang,Cameron Highlands,2025,44.8,,,,,,,,,,,,,,35.0,0.75
Pahang,Jerantut,2025,100.3,,,,,,,,,,,,,,1.25,0.0
Pahang,Kuantan,2025,576.7,,,,,,,,,,,,,,43.333333333333336,-5.5
Pahang,Lipis,2025,103.3,,,,,,,,,,,,,,0.9166666666666666,0.1666666666666666
Pahang,Maran,2025,119.9,,,,,,,,,,,,,,0.4166666666666667,-0.1666666666666666
Pahang,Pekan,2025,129.3,,,,,,,,,,,,,,9.833333333333334,0.5
Pahang,Raub,2025,99.9,,,,,,,,,,,,,,3.333333333333333,0.0833333333333334
Pahang,Rompin,2025,104.0,,,,,,,,,,,,,,7.0,0.25
Pahang,Temerloh,2025,178.7,,,,,,,,,,,,,,2.25,0.0833333333333334
Perak,Bagan Datuk,2025,83.5,,,,,,,,,,,,,,0.0,-0.8333333333333334
Perak,Batang Padang,2025,127.0,,,,,,,,,,,,,,0.0,0.0
Perak,Hilir Perak,2025,141.8,,,,,,,,,,,,,,0.0,0.0
Perak,Hulu Perak,2025,98.5,,,,,,,,,,,,,,0.0,0.0
Perak,Kampar,2025,98.8,,,,,,,,,,,,,,7.083333333333333,-1.416666666666667
Perak,Kerian,2025,169.8,,,,,,,,,,,,,,0.5,-0.0833333333333333
Perak,Kinta,2025,927.4,,,,,,,,,,,,,,0.75,-0.3333333333333332
Perak,Kuala Kangsar,2025,179.6,,,,,,,,,,,,,,6.916666666666667,-0.5
Perak,Larut Dan Matang,2025,278.3,,,,,,,,,,,,,,0.0,0.0
Perak,Manjung,2025,256.4,,,,,,,,,,,,,,4.666666666666667,-0.166666666666666
Perak,Muallim,2025,79.6,,,,,,,,,,,,,,0.0,0.0
Perak,Perak Tengah,2025,99.2,,,,,,,,,,,,,,0.0,0.0
Perak,Selama,2025,35.0,,,,,,,,,,,,,,0.1666666666666666,0.1666666666666666
Perlis,Perlis,2025,297.8,,,,,,,,,,,,,,,
Pulau Pinang,Barat Daya,2025,249.7,,,,,,,,,,,,,,0.0,0.0
Pulau Pinang,Seberang Perai Selatan,2023,186.8,,,,,,109.0,105.5,3.5,28.6,79.2,3.3,76.7,,0.0,0.0
Pulau Pinang,Seberang Perai Tengah,2023,433.5,,,,,,232.6,227.8,4.8,87.5,72.7,2.1,71.2,,0.0,0.0
