state,month,year,area,geo_level,trend_index,source_file,duplicate_column_flag
Johor,2018-12-01,2018,Johor,state,84.0,time_series_MY_JOHOR.csv,
Johor,2019-01-01,2019,Johor,state,77.0,time_series_MY_JOHOR.csv,
Johor,2019-02-01,2019,Johor,state,80.0,time_series_MY_JOHOR.csv,
Johor,2019-03-01,2019,Johor,state,71.0,time_series_MY_JOHOR.csv,
Johor,2019-04-01,2019,Johor,state,71.0,time_series_MY_JOHOR.csv,
Johor,2019-05-01,2019,Johor,state,75.0,time_series_MY_JOHOR.csv,
Johor,2019-06-01,2019,Johor,state,66.0,time_series_MY_JOHOR.csv,
Johor,2019-07-01,2019,Johor,state,72.0,time_series_MY_JOHOR.csv,
Johor,2019-08-01,2019,Johor,state,71.0,time_series_MY_JOHOR.csv,
Johor,2019-09-01,2019,Johor,state,70.0,time_series_MY_JOHOR.csv,
Johor,2019-10-01,2019,Johor,state,67.0,time_series_MY_JOHOR.csv,
Johor,2019-11-01,2019,Johor,state,72.0,time_series_MY_JOHOR.csv,
Johor,2019-12-01,2019,Johor,state,67.0,time_series_MY_JOHOR.csv,
Johor,2020-01-01,2020,Johor,state,67.0,time_series_MY_JOHOR.csv,
Johor,2020-02-01,2020,Johor,state,68.0,time_series_MY_JOHOR.csv,
Johor,2020-03-01,2020,Johor,state,64.0,time_series_MY_JOHOR.csv,
Johor,2020-04-01,2020,Johor,state,46.0,time_series_MY_JOHOR.csv,
Johor,2020-05-01,2020,Johor,state,60.0,time_series_MY_JOHOR.csv,
Johor,2020-06-01,2020,Johor,state,69.0,time_series_MY_JOHOR.csv,
Johor,2020-07-01,2020,Johor,state,78.0,time_series_MY_JOHOR.csv,
Johor,2020-08-01,2020,Johor,state,100.0,time_series_MY_JOHOR.csv,
Johor,2020-09-01,2020,Johor,state,91.0,time_series_MY_JOHOR.csv,
Johor,2020-10-01,2020,Johor,state,79.0,time_series_MY_JOHOR.csv,
Johor,2020-11-01,2020,Johor,state,68.0,time_series_MY_JOHOR.csv,
