state,year,tourism_receipts_rm_million,tourism_receipts_rm,tourism_receipts_growth_pct,domestic_visitors_000,domestic_visitors,domestic_visitors_growth_pct,tourism_trips_000,tourism_trips_growth_pct,avg_receipts_per_visitor_rm,avg_receipts_per_trip_rm,average_length_of_stay,population_000,tourism_intensity_visitors_per_resident
Johor,2019,7409.67789125131,7409677891.25131,10.1579642985956,14274.3642667527,14274364.2667527,5.83608267248652,19135.5102140974,8.44209674541931,519.089869978284,387.221339193376,2.54156533635858,3761.2,3.7951622532044826
Johor,2020,2431.61988775028,2431619887.7502804,-67.183190370241,7242.508,7242508.0,-49.2621326970829,7915.18,-58.6361695536669,335.742796245483,307.209676564561,1.85128755704271,4009.7,1.8062468513853904
Johor,2021,1251.84930290302,1251849302.9030201,-48.5178868124317,3657.55,3657550.0,-49.4988476367579,3797.419,-52.023592640976,342.264440104173,329.657934218747,2.06019814260457,4020.0,0.9098383084577115
Johor,2022,4888.35148006201,4888351480.06201,290.490410365369,12376.202,12376202.0,238.374102883077,12964.945,241.414655585807,394.97993649926,377.043749901138,2.33780774616398,4028.3,3.0723138793039246
Johor,2023,6699.11884569231,6699118845.69231,37.0424952668774,15804.89,15804890.0,27.7038787828447,16493.661,27.2173618939378,423.863680524971,406.163243302521,2.17607397828371,4107.2,3.8480935917413324
Johor,2024,7814.41585763373,7814415857.63373,16.6484135844012,17138.338,17138338.0,8.43693312639315,19203.875,16.4318522127986,455.961123980268,406.918700399463,2.54702302372368,4184.4,4.095769524902018
Johor,2025,8722.92495205821,8722924952.05821,11.6260653512185,18196.973,18196973.0,6.17699919327068,21246.6601716389,10.6373592394186,479.361317514633,410.555112266633,2.67977442484637,4204.1,4.328387288599225
Kedah,2019,5208.13192969844,5208131929.698441,10.2376026405955,14831.1555133218,14831155.5133218,2.42497701428575,19500.3707313011,-0.752398068605808,351.16157503846,267.078611040896,2.30549889208375,2173.7,6.823000190146663
Kedah,2020,2272.69214593496,2272692145.93496,-56.3626233626045,10108.084,10108084.0,-31.8456071010744,10362.011,-46.862492294224,224.839064053579,219.32925432476,1.97006129028332,2131.4,4.742462231397204
Kedah,2021,842.205404074748,842205404.074748,-62.942389466116,4023.002,4023002.0,-60.2001526698828,4240.773,-59.0738419405268,209.347498230115,198.597143510098,1.96227888195383,2151.7,1.869685365060185
