state,district,year,population_000,income_mean,income_median,expenditure_mean,gini,poverty,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio,gdp_real_p0,google_trend_annual_avg,google_trend_yoy_change,hies_year,latest_income_mean,latest_income_median,latest_expenditure_mean,latest_gini,latest_poverty,digital_interest_trend,tourism_growth_pct,tourism_value_growth_pct,tourism_intensity,opportunity_pattern,pressure_pattern,map_join_note
Johor,Batu Pahat,2025,511.8,,,,,,,,,,,,,,10.0,-1.083333333333334,2024.0,9006.0,7555.0,5153.0,0.316,2.4,stable,6.17699919327068,11.6260653512185,4.328387288599225,positive_momentum,no_pressure_signal,No latitude/longitude or boundary geometry in source files; join to Malaysia district shapefile by state + district.
Johor,Johor Bahru,2025,1814.4,,,,,,,,,,,,,,,,2024.0,10975.0,8977.0,6764.0,0.35,1.9,not_available,6.17699919327068,11.6260653512185,4.328387288599225,positive_momentum,no_pressure_signal,No latitude/longitude or boundary geometry in source files; join to Malaysia district shapefile by state + district.
Johor,Kluang,2025,335.2,,,,,,,,,,,,,,5.75,0.083333333333333,2024.0,6616.0,6158.0,4748.0,0.292,5.7,stable,6.17699919327068,11.6260653512185,4.328387288599225,positive_momentum,no_pressure_signal,No latitude/longitude or boundary geometry in source files; join to Malaysia district shapefile by state + district.
Johor,Kota Tinggi,2025,234.7,,,,,,,,,,,,,,51.583333333333336,-2.5,2024.0,8106.0,6284.0,4949.0,0.379,4.2,stable,6.17699919327068,11.6260653512185,4.328387288599225,positive_momentum,no_pressure_signal,No latitude/longitude or boundary geometry in source files; join to Malaysia district shapefile by state + district.
Johor,Kulai,2025,353.0,,,,,,,,,,,,,,6.083333333333333,-0.1666666666666669,2024.0,10296.0,8406.0,6254.0,0.319,0.1,stable,6.17699919327068,11.6260653512185,4.328387288599225,positive_momentum,no_pressure_signal,No latitude/longitude or boundary geometry in source files; join to Malaysia district shapefile by state + district.
Johor,Mersing,2025,81.4,,,,,,,,,,,,,,38.583333333333336,-0.4166666666666643,2024.0,6014.0,5335.0,4274.0,0.263,6.7,stable,6.17699919327068,11.6260653512185,4.328387288599225,positive_momentum,no_pressure_signal,No latitude/longitude or boundary geometry in source files; join to Malaysia district shapefile by state + district.
Johor,Muar,2025,323.9,,,,,,,,,,,,,,10.583333333333334,-1.25,2024.0,8401.0,7334.0,5541.0,0.306,2.1,stable,6.17699919327068,11.6260653512185,4.328387288599225,positive_momentum,no_pressure_signal,No latitude/longitude or boundary geometry in source files; join to Malaysia district shapefile by state + district.
Johor,Pontian,2025,177.9,,,,,,,,,,,,,,6.333333333333333,-1.416666666666667,2024.0,7011.0,5685.0,4856.0,0.341,2.0,stable,6.17699919327068,11.6260653512185,4.328387288599225,positive_momentum,no_pressure_signal,No latitude/longitude or boundary geometry in source files; join to Malaysia district shapefile by state + district.
Johor,Segamat,2025,204.3,,,,,,,,,,,,,,3.9166666666666665,0.25,2024.0,7348.0,6451.0,4870.0,0.292,3.1,stable,6.17699919327068,11.6260653512185,4.328387288599225,positive_momentum,no_pressure_signal,No latitude/longitude or boundary geometry in source files; join to Malaysia district shapefile by state + district.
Johor,Tangkak,2025,169.2,,,,,,,,,,,,,,2.833333333333333,0.0833333333333334,2024.0,7524.0,6374.0,4673.0,0.306,4.0,stable,6.17699919327068,11.6260653512185,4.328387288599225,positive_momentum,no_pressure_signal,No latitude/longitude or boundary geometry in source files; join to Malaysia district shapefile by state + district.
Kedah,Baling,2025,149.0,,,,,,,,,,,,,,0.9166666666666666,-0.0833333333333333,2024.0,4345.0,3367.0,3041.0,0.324,14.7,stable,6.52763766144799,11.2695600402782,7.008164878092587,positive_momentum,no_pressure_signal,No latitude/longitude or boundary geometry in source files; join to Malaysia district shapefile by state + district.
Kedah,Bandar Baharu,2025,45.6,,,,,,,,,,,,,,0.0,0.0,2024.0,4835.0,4310.0,3006.0,0.339,5.8,stable,6.52763766144799,11.2695600402782,7.008164878092587,positive_momentum,no_pressure_signal,No latitude/longitude or boundary geometry in source files; join to Malaysia district shapefile by state + district.
Kedah,Kota Setar,2025,383.4,,,,,,,,,,,,,,0.0833333333333333,0.0833333333333333,2024.0,6034.0,5208.0,4495.0,0.328,5.5,stable,6.52763766144799,11.2695600402782,7.008164878092587,positive_momentum,no_pressure_signal,No latitude/longitude or boundary geometry in source files; join to Malaysia district shapefile by state + district.
