year,opportunity_pattern,pressure_pattern,state_count,avg_tourism_growth_pct,avg_search_interest_growth_pct,avg_tourism_intensity,avg_spending_per_visitor_rm
2019,insufficient_data,insufficient_data,5,3.24015903268952,,10.408164495852787,486.87038851798445
2019,monitor,high_intensity_monitor,2,5.21936391029811,-11.495726495726494,13.434692954194674,418.4349976361385
2019,monitor,no_pressure_signal,5,9.248466392918134,-12.349857605805777,6.578396550120532,427.22438524060516
2019,positive_momentum,no_pressure_signal,2,9.90062591671898,4.332386363636358,5.737647329644295,401.827891489391
2019,positive_momentum,possible_pressure,2,2.57950854399559,15.673076923076923,11.22190035920108,416.9898525228195
2020,monitor,no_pressure_signal,16,-48.69666163706892,-1.5782111654223039,4.518660893549305,312.25773920796155
2021,monitor,no_pressure_signal,16,-50.948559894319324,-5.700924376719994,2.251226368763012,285.10546159002786
2022,emerging_opportunity,no_pressure_signal,4,266.37173968130526,52.8155364790738,3.224268992936604,431.891618157632
2022,inclusive_growth_opportunity,no_pressure_signal,1,137.518945153512,40.298507462686565,6.252120881342227,351.173965248774
2022,monitor,no_pressure_signal,1,115.339428374453,-6.8656716417910495,3.118953519708381,397.225268718028
2022,positive_momentum,no_pressure_signal,8,183.50467327448624,34.51060748245757,7.175072825758812,345.7770412327195
2022,positive_momentum,possible_pressure,2,344.3575369893815,74.44617279149652,11.409654840169413,380.442216285682
2023,monitor,high_intensity_monitor,3,29.0983687928378,-11.936326318046751,12.452540027004373,380.78228805084933
2023,monitor,no_pressure_signal,8,21.48150241858255,-8.43399230130673,6.51581985206209,371.3117028057541
2023,positive_momentum,no_pressure_signal,3,25.1021642598874,4.7194240748522445,3.742667127507712,472.06930207057735
2023,positive_momentum,possible_pressure,2,38.495000000000005,18.195766307865657,13.539087002715661,423.5
2024,emerging_opportunity,no_pressure_signal,1,35.69,30.735294117647054,4.464285714285714,588.0
2024,monitor,high_intensity_monitor,6,31.21096201710115,-8.833354358856264,14.764141604724635,368.49243626531205
2024,monitor,no_pressure_signal,8,21.639153470141622,-14.776589190266593,6.493760661806448,405.3516549403206
2024,positive_momentum,possible_pressure,1,21.37,11.213872832369956,13.051027811366383,522.0
2025,monitor,high_intensity_monitor,5,12.407379318652431,-8.5851752316964,16.148775627691823,397.732746314315
2025,monitor,no_pressure_signal,4,11.15529308047634,-5.5911606071642765,7.35145733927193,402.247148496695
2025,positive_momentum,no_pressure_signal,4,13.926788424060517,3.232398152329809,5.819627044694236,474.30432268918776
2025,positive_momentum,possible_pressure,3,17.858976525437374,3.735141151854472,15.422883312152749,414.81893111001904
