state,year,domestic_visitors_000,tourism_receipts_rm_million,tourism_trips_000,tourism_growth_pct,spending_per_visitor_rm,trips_per_visitor,tourism_intensity,tourism_value_growth_pct,local_prosperity_context,income_mean,income_median,expenditure_mean,gini,poverty,google_search_interest,search_interest_growth_pct,digital_interest_trend,emerging_viral_destination,opportunity_pattern,pressure_pattern,average_length_of_stay,population_000,avg_receipts_per_trip_rm,tourism_receipts_rm,domestic_visitors
Johor,2019,14274.3642667527,7409.67789125131,19135.5102140974,5.83608267248652,519.089869978284,1.3405507843643234,3.795162253204482,10.1579642985956,not_available,,,,,,71.58333333333333,-14.781746031746035,decreasing,not_flagged,monitor,no_pressure_signal,2.54156533635858,3761.2,387.221339193376,7409677891.25131,14274364.2667527
Johor,2020,7242.508,2431.61988775028,7915.18,-49.2621326970829,335.742796245483,1.0928783233653314,1.8062468513853904,-67.183190370241,not_available,,,,,,72.41666666666667,1.1641443538998968,stable,not_flagged,monitor,no_pressure_signal,1.85128755704271,4009.7,307.209676564561,2431619887.7502804,7242508.0
Johor,2021,3657.55,1251.84930290302,3797.419,-49.4988476367579,342.264440104173,1.0382411723694822,0.9098383084577116,-48.5178868124317,not_available,,,,,,67.25,-7.134637514384357,decreasing,not_flagged,monitor,no_pressure_signal,2.06019814260457,4020.0,329.657934218747,1251849302.90302,3657550.0
Johor,2022,12376.202,4888.35148006201,12964.945,238.374102883077,394.97993649926,1.0475705713271326,3.0723138793039246,290.490410365369,moderate_context,7403.7,6019.5,4718.3,0.3535,5.96,85.58333333333333,27.26146220570012,strongly_increasing,potential_emerging_digital_destination,emerging_opportunity,no_pressure_signal,2.33780774616398,4028.3,377.043749901138,4888351480.06201,12376202.0
Johor,2023,15804.89,6699.11884569231,16493.661,27.7038787828447,423.863680524971,1.043579613651218,3.848093591741333,37.0424952668774,not_available,,,,,,75.5,-11.781888997078866,decreasing,not_flagged,monitor,no_pressure_signal,2.17607397828371,4107.2,406.163243302521,6699118845.69231,15804890.0
Johor,2024,17138.338,7814.41585763373,19203.875,8.43693312639315,455.961123980268,1.1205214297909167,4.095769524902018,16.6484135844012,moderate_context,8129.7,6855.9,5208.2,0.3164,3.22,68.16666666666667,-9.7130242825607,decreasing,not_flagged,monitor,no_pressure_signal,2.54702302372368,4184.4,406.918700399463,7814415857.63373,17138338.0
Johor,2025,18196.973,8722.92495205821,21246.6601716389,6.17699919327068,479.361317514633,1.16759310307483,4.328387288599225,11.6260653512185,not_available,,,,,,68.58333333333333,0.6112469437652672,stable,not_flagged,positive_momentum,no_pressure_signal,2.67977442484637,4204.1,410.555112266633,8722924952.05821,18196973.0
Kedah,2019,14831.1555133218,5208.13192969844,19500.3707313011,2.42497701428575,351.16157503846,1.3148247763827483,6.823000190146663,10.2376026405955,not_available,,,,,,48.91666666666666,-7.704402515723274,decreasing,not_flagged,monitor,no_pressure_signal,2.30549889208375,2173.7,267.078611040896,5208131929.698441,14831155.5133218
Kedah,2020,10108.084,2272.69214593496,10362.011,-31.8456071010744,224.839064053579,1.0251211802355422,4.742462231397204,-56.3626233626045,not_available,,,,,,58.66666666666666,19.931856899488928,strongly_increasing,not_flagged,monitor,no_pressure_signal,1.97006129028332,2131.4,219.32925432476,2272692145.93496,10108084.0
Kedah,2021,4023.002,842.205404074748,4240.773,-60.2001526698828,209.347498230115,1.0541314669990225,1.869685365060185,-62.942389466116,not_available,,,,,,58.66666666666666,0.0,stable,not_flagged,monitor,no_pressure_signal,1.96227888195383,2151.7,198.597143510098,842205404.074748,4023002.0
Kedah,2022,11186.197,3469.82268561478,11894.479,178.055964177994,310.187875791458,1.0633174974479709,5.171373029448477,311.992450870907,moderate_context,5281.916666666667,4281.333333333333,3598.333333333333,0.3318333333333333,7.583333333333333,63.5,8.238636363636367,increasing,not_flagged,positive_momentum,no_pressure_signal,2.1120801053992,2163.1,291.717080303793,3469822685.61478,11186197.0
Kedah,2023,13444.055,4206.61948328264,13687.381,20.1843218030221,312.898116177198,1.0180991523762732,6.1408007125565245,21.2344221715559,not_available,,,,,,60.0,-5.511811023622047,decreasing,not_flagged,monitor,no_pressure_signal,2.02721858973257,2189.3,307.335602280863,4206619483.282641,13444055.0
Kedah,2024,14651.4879543306,4961.15023607227,15984.149,8.98116642880886,338.610675689487,1.0909573860227282,6.6084019459341485,17.9367483982847,moderate_context,5547.5,4692.583333333333,3906.3333333333335,0.321,7.908333333333334,47.75,-20.416666666666668,strongly_decreasing,not_flagged,monitor,no_pressure_signal,2.76758567052739,2217.1,310.379378725278,4961150236.072269,14651487.9543306
Kedah,2025,15607.884,5520.25004061484,17650.0664675874,6.52763766144799,353.683435923463,1.1308430064951405,7.008164878092587,11.2695600402782,not_available,,,,,,48.41666666666666,1.3961605584642185,stable,not_flagged,positive_momentum,no_pressure_signal,2.8191254738061,2227.1,312.760864144746,5520250040.6148405,15607884.0
Kelantan,2019,10985.6520100096,4800.04103126423,15911.2787640876,11.5733728270763,436.937291194975,1.4483690862945595,5.831644553567045,19.9591838148889,not_available,,,,,,46.66666666666666,6.060606060606055,increasing,not_flagged,positive_momentum,no_pressure_signal,3.00996244733286,1883.8,301.675377726278,4800041031.26423,10985652.0100096
Kelantan,2020,6058.183,1555.12261713697,6568.194,-44.8536782843652,256.697860915884,1.084185472772942,3.379739470013947,-67.6018890878651,not_available,,,,,,58.0,24.28571428571429,strongly_increasing,not_flagged,monitor,no_pressure_signal,1.85860052110295,1792.5,236.765634074902,1555122617.1369698,6058183.0
