series_id,state,area,geo_level,latest_observed_month,latest_trend_index,three_month_mean,eligible_for_training,exclusion_reason,forecast_month,forecast_trend_index,forecast_method,forecast_change_points,momentum_direction,model_version,generated_at
Johor | district_or_area | Batu Pahat,Johor,Batu Pahat,district_or_area,2025-12-01,10.0,10.0,True,,2026-01-01,10.0,three_month_mean,0.0,stable,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
Johor | district_or_area | Kluang,Johor,Kluang,district_or_area,2025-12-01,6.0,6.0,True,,2026-01-01,6.0,three_month_mean,0.0,stable,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
Johor | district_or_area | Kota Tinggi,Johor,Kota Tinggi,district_or_area,2025-12-01,54.0,51.666666666666664,True,,2026-01-01,51.666666666666664,three_month_mean,-2.3333333333333357,falling,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
Johor | district_or_area | Kulai,Johor,Kulai,district_or_area,2025-12-01,7.0,6.333333333333333,True,,2026-01-01,6.333333333333333,three_month_mean,-0.666666666666667,stable,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
Johor | district_or_area | Mersing,Johor,Mersing,district_or_area,2025-12-01,25.0,29.333333333333332,True,,2026-01-01,29.333333333333332,three_month_mean,4.333333333333332,rising,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
Johor | district_or_area | Muar,Johor,Muar,district_or_area,2025-12-01,13.0,11.666666666666666,True,,2026-01-01,11.666666666666666,three_month_mean,-1.333333333333334,stable,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
Johor | district_or_area | Pontian,Johor,Pontian,district_or_area,2025-12-01,7.0,7.0,True,,2026-01-01,7.0,three_month_mean,0.0,stable,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
Johor | district_or_area | Segamat,Johor,Segamat,district_or_area,2025-12-01,4.0,3.6666666666666665,True,,2026-01-01,3.6666666666666665,three_month_mean,-0.3333333333333335,stable,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
Johor | district_or_area | Tangkak,Johor,Tangkak,district_or_area,2025-12-01,2.0,2.3333333333333335,True,,2026-01-01,2.3333333333333335,three_month_mean,0.3333333333333335,stable,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
Kedah | district_or_area | Baling,Kedah,Baling,district_or_area,2025-12-01,1.0,1.0,True,,2026-01-01,1.0,three_month_mean,0.0,stable,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
Kedah | district_or_area | Bandar Baharu,Kedah,Bandar Baharu,district_or_area,2025-12-01,0.0,0.0,False,constant_series,2026-01-01,0.0,three_month_mean_insufficient_signal,0.0,stable,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
Kedah | district_or_area | Kota Setar,Kedah,Kota Setar,district_or_area,2025-12-01,0.0,0.0,True,,2026-01-01,0.0,three_month_mean,0.0,stable,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
Kedah | district_or_area | Kuala Muda,Kedah,Kuala Muda,district_or_area,2025-12-01,0.0,0.0,False,constant_series,2026-01-01,0.0,three_month_mean_insufficient_signal,0.0,stable,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
Kedah | district_or_area | Kubang Pasu,Kedah,Kubang Pasu,district_or_area,2025-12-01,0.0,0.0,False,constant_series,2026-01-01,0.0,three_month_mean_insufficient_signal,0.0,stable,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
Kedah | district_or_area | Kulim,Kedah,Kulim,district_or_area,2025-12-01,1.0,0.3333333333333333,True,,2026-01-01,0.3333333333333333,three_month_mean,-0.6666666666666667,stable,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
Kedah | district_or_area | Langkawi,Kedah,Langkawi,district_or_area,2025-12-01,46.0,43.333333333333336,True,,2026-01-01,43.333333333333336,three_month_mean,-2.6666666666666643,falling,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
Kedah | district_or_area | Padang Terap,Kedah,Padang Terap,district_or_area,2025-12-01,0.0,0.0,False,constant_series,2026-01-01,0.0,three_month_mean_insufficient_signal,0.0,stable,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
Kedah | district_or_area | Pendang,Kedah,Pendang,district_or_area,2025-12-01,3.0,2.6666666666666665,True,,2026-01-01,2.6666666666666665,three_month_mean,-0.3333333333333335,stable,demand-hybrid-v1.0.0,2026-09-17T20:09:39.595575+00:00
