series_id,state,area,geo_level,observations,unique_trend_values,trend_standard_deviation,start_month,end_month,eligible_for_training,exclusion_reason
Johor | district_or_area | Batu Pahat,Johor,Batu Pahat,district_or_area,85,14,3.119469896789324,2018-12-01,2025-12-01,True,
Johor | district_or_area | Kluang,Johor,Kluang,district_or_area,85,6,1.2092083666389262,2018-12-01,2025-12-01,True,
Johor | district_or_area | Kota Tinggi,Johor,Kota Tinggi,district_or_area,85,39,11.706638208779689,2018-12-01,2025-12-01,True,
Johor | district_or_area | Kulai,Johor,Kulai,district_or_area,85,9,1.618520263431155,2018-12-01,2025-12-01,True,
Johor | district_or_area | Mersing,Johor,Mersing,district_or_area,85,42,15.251835541827676,2018-12-01,2025-12-01,True,
Johor | district_or_area | Muar,Johor,Muar,district_or_area,85,16,3.2823695069007575,2018-12-01,2025-12-01,True,
Johor | district_or_area | Pontian,Johor,Pontian,district_or_area,85,7,1.6317061579813927,2018-12-01,2025-12-01,True,
Johor | district_or_area | Segamat,Johor,Segamat,district_or_area,85,6,1.100929070343395,2018-12-01,2025-12-01,True,
Johor | district_or_area | Tangkak,Johor,Tangkak,district_or_area,85,5,0.7944132658602762,2018-12-01,2025-12-01,True,
Johor | state | Johor,Johor,Johor,state,85,35,11.15598594517596,2018-12-01,2025-12-01,True,
Kedah | district_or_area | Baling,Kedah,Baling,district_or_area,85,3,0.35226358860140766,2018-12-01,2025-12-01,True,
Kedah | district_or_area | Bandar Baharu,Kedah,Bandar Baharu,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Kedah | district_or_area | Kota Setar,Kedah,Kota Setar,district_or_area,85,3,0.26303550153929417,2018-12-01,2025-12-01,True,
Kedah | district_or_area | Kuala Muda,Kedah,Kuala Muda,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Kedah | district_or_area | Kubang Pasu,Kedah,Kubang Pasu,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Kedah | district_or_area | Kulim,Kedah,Kulim,district_or_area,85,2,0.5026540206004229,2018-12-01,2025-12-01,True,
Kedah | district_or_area | Langkawi,Kedah,Langkawi,district_or_area,85,42,16.475412458760314,2018-12-01,2025-12-01,True,
Kedah | district_or_area | Padang Terap,Kedah,Padang Terap,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Kedah | district_or_area | Pendang,Kedah,Pendang,district_or_area,85,7,1.3558670104918311,2018-12-01,2025-12-01,True,
Kedah | district_or_area | Pokok Sena,Kedah,Pokok Sena,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Kedah | district_or_area | Sik,Kedah,Sik,district_or_area,85,5,1.236127503327142,2018-12-01,2025-12-01,True,
Kedah | district_or_area | Yan,Kedah,Yan,district_or_area,85,10,1.6181740929078008,2018-12-01,2025-12-01,True,
Kedah | state | Kedah,Kedah,Kedah,state,85,39,12.247471584947224,2018-12-01,2025-12-01,True,
Kelantan | district_or_area | Bachok,Kelantan,Bachok,district_or_area,85,7,1.6975018718817414,2018-12-01,2025-12-01,True,
Kelantan | district_or_area | Gua Musang,Kelantan,Gua Musang,district_or_area,85,5,1.5437594622579403,2018-12-01,2025-12-01,True,
Kelantan | district_or_area | Jeli,Kelantan,Jeli,district_or_area,85,6,1.8336261543590557,2018-12-01,2025-12-01,True,
Kelantan | district_or_area | Kecil Lojing,Kelantan,Kecil Lojing,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Kelantan | district_or_area | Kota Bharu,Kelantan,Kota Bharu,district_or_area,85,29,7.379849922183349,2018-12-01,2025-12-01,True,
Kelantan | district_or_area | Kuala Krai,Kelantan,Kuala Krai,district_or_area,85,8,1.9508670772098176,2018-12-01,2025-12-01,True,
Kelantan | district_or_area | Machang,Kelantan,Machang,district_or_area,85,5,1.490398777309671,2018-12-01,2025-12-01,True,
Kelantan | district_or_area | Pasir Mas,Kelantan,Pasir Mas,district_or_area,85,4,1.1729920563011744,2018-12-01,2025-12-01,True,
Kelantan | district_or_area | Pasir Puteh,Kelantan,Pasir Puteh,district_or_area,85,7,1.8556447308002624,2018-12-01,2025-12-01,True,
Kelantan | district_or_area | Tanah Merah,Kelantan,Tanah Merah,district_or_area,85,14,3.226422774772181,2018-12-01,2025-12-01,True,
Kelantan | district_or_area | Tumpat,Kelantan,Tumpat,district_or_area,85,3,0.8306118024604241,2018-12-01,2025-12-01,True,
Kelantan | state | Kelantan,Kelantan,Kelantan,state,85,45,13.42430798283201,2018-12-01,2025-12-01,True,
Melaka | district_or_area | Alor Gajah,Melaka,Alor Gajah,district_or_area,85,3,0.35226358860140766,2018-12-01,2025-12-01,True,
Melaka | district_or_area | Jasin,Melaka,Jasin,district_or_area,85,6,0.9976162063830436,2018-12-01,2025-12-01,True,
Melaka | district_or_area | Melaka Tengah,Melaka,Melaka Tengah,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Melaka | state | Melaka,Melaka,Melaka,state,85,41,15.83995586107083,2018-12-01,2025-12-01,True,
Negeri Sembilan | district_or_area | Jelebu,Negeri Sembilan,Jelebu,district_or_area,85,2,0.32410186177608225,2018-12-01,2025-12-01,True,
Negeri Sembilan | district_or_area | Kuala Pilah,Negeri Sembilan,Kuala Pilah,district_or_area,85,2,0.152477210493529,2018-12-01,2025-12-01,True,
Negeri Sembilan | district_or_area | Port Dickson,Negeri Sembilan,Port Dickson,district_or_area,85,40,16.465420858077497,2018-12-01,2025-12-01,True,
Negeri Sembilan | district_or_area | Rembau,Negeri Sembilan,Rembau,district_or_area,85,4,0.42008402520840304,2018-12-01,2025-12-01,True,
Negeri Sembilan | district_or_area | Seremban,Negeri Sembilan,Seremban,district_or_area,85,10,1.7886977877524095,2018-12-01,2025-12-01,True,
Negeri Sembilan | district_or_area | Tampin,Negeri Sembilan,Tampin,district_or_area,85,3,0.5204501391477723,2018-12-01,2025-12-01,True,
Negeri Sembilan | state | Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,state,85,43,15.33404882023298,2018-12-01,2025-12-01,True,
Pahang | district_or_area | Bentong,Pahang,Bentong,district_or_area,85,13,2.333953499017114,2018-12-01,2025-12-01,True,
Pahang | district_or_area | Bera,Pahang,Bera,district_or_area,85,5,0.7337406559132836,2018-12-01,2025-12-01,True,
Pahang | district_or_area | Cameron Highlands,Pahang,Cameron Highlands,district_or_area,85,43,16.109221048862683,2018-12-01,2025-12-01,True,
Pahang | district_or_area | Jerantut,Pahang,Jerantut,district_or_area,85,3,0.5957364860274328,2018-12-01,2025-12-01,True,
Pahang | district_or_area | Kuantan,Pahang,Kuantan,district_or_area,85,44,15.570099909906867,2018-12-01,2025-12-01,True,
Pahang | district_or_area | Lipis,Pahang,Lipis,district_or_area,85,2,0.45834924851410574,2018-12-01,2025-12-01,True,
Pahang | district_or_area | Maran,Pahang,Maran,district_or_area,85,2,0.5026540206004229,2018-12-01,2025-12-01,True,
Pahang | district_or_area | Pekan,Pahang,Pekan,district_or_area,85,9,1.7224827368399038,2018-12-01,2025-12-01,True,
Pahang | district_or_area | Raub,Pahang,Raub,district_or_area,85,7,1.0758359397174249,2018-12-01,2025-12-01,True,
Pahang | district_or_area | Rompin,Pahang,Rompin,district_or_area,85,11,2.1147077328837205,2018-12-01,2025-12-01,True,
Pahang | district_or_area | Temerloh,Pahang,Temerloh,district_or_area,85,5,0.6985378887883098,2018-12-01,2025-12-01,True,
Pahang | state | Pahang,Pahang,Pahang,state,85,37,13.006731719690814,2018-12-01,2025-12-01,True,
Perak | district_or_area | Bagan Datuk,Perak,Bagan Datuk,district_or_area,85,4,0.8194074514114278,2018-12-01,2025-12-01,True,
Perak | district_or_area | Batang Padang,Perak,Batang Padang,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Perak | district_or_area | Hilir Perak,Perak,Hilir Perak,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Perak | district_or_area | Hulu Perak,Perak,Hulu Perak,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Perak | district_or_area | Kampar,Perak,Kampar,district_or_area,85,14,2.8158713842540934,2018-12-01,2025-12-01,True,
Perak | district_or_area | Kerian,Perak,Kerian,district_or_area,85,4,0.9200535850915293,2018-12-01,2025-12-01,True,
Perak | district_or_area | Kinta,Perak,Kinta,district_or_area,85,4,1.2831596157297718,2018-12-01,2025-12-01,True,
Perak | district_or_area | Kuala Kangsar,Perak,Kuala Kangsar,district_or_area,85,10,1.9120728043052093,2018-12-01,2025-12-01,True,
Perak | district_or_area | Larut Dan Matang,Perak,Larut Dan Matang,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Perak | district_or_area | Manjung,Perak,Manjung,district_or_area,85,8,1.8373650601188802,2018-12-01,2025-12-01,True,
Perak | district_or_area | Muallim,Perak,Muallim,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Perak | district_or_area | Perak Tengah,Perak,Perak Tengah,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Perak | district_or_area | Selama,Perak,Selama,district_or_area,85,2,0.21693045781865616,2018-12-01,2025-12-01,True,
Perak | state | Perak,Perak,Perak,state,85,39,11.959806636811317,2018-12-01,2025-12-01,True,
Perlis | state | Perlis,Perlis,Perlis,state,84,48,19.762542586946154,2019-01-01,2025-12-01,True,
Pulau Pinang | district_or_area | Barat Daya,Pulau Pinang,Barat Daya,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Pulau Pinang | district_or_area | Seberang Perai Selatan,Pulau Pinang,Seberang Perai Selatan,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Pulau Pinang | district_or_area | Seberang Perai Tengah,Pulau Pinang,Seberang Perai Tengah,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Pulau Pinang | district_or_area | Seberang Perai Utara,Pulau Pinang,Seberang Perai Utara,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Pulau Pinang | district_or_area | Timur Laut,Pulau Pinang,Timur Laut,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Pulau Pinang | state | Pulau Pinang,Pulau Pinang,Pulau Pinang,state,85,46,15.050726552160162,2018-12-01,2025-12-01,True,
Sabah | district_or_area | Beaufort,Sabah,Beaufort,district_or_area,85,2,0.3834824944236852,2018-12-01,2025-12-01,True,
Sabah | district_or_area | Beluran,Sabah,Beluran,district_or_area,85,2,0.10846522890932808,2018-12-01,2025-12-01,True,
Sabah | district_or_area | Kalabakan,Sabah,Kalabakan,district_or_area,85,2,0.15247721049352903,2018-12-01,2025-12-01,True,
Sabah | district_or_area | Keningau,Sabah,Keningau,district_or_area,85,3,0.3712345970547737,2018-12-01,2025-12-01,True,
Sabah | district_or_area | Kinabatangan,Sabah,Kinabatangan,district_or_area,85,8,1.4476872311821123,2018-12-01,2025-12-01,True,
Sabah | district_or_area | Kota Belud,Sabah,Kota Belud,district_or_area,85,2,0.49873790290925285,2018-12-01,2025-12-01,True,
Sabah | district_or_area | Kota Kinabalu,Sabah,Kota Kinabalu,district_or_area,85,39,11.711303166118608,2018-12-01,2025-12-01,True,
Sabah | district_or_area | Kota Marudu,Sabah,Kota Marudu,district_or_area,85,2,0.2576558841203685,2018-12-01,2025-12-01,True,
Sabah | district_or_area | Kuala Penyu,Sabah,Kuala Penyu,district_or_area,85,2,0.3095130357961213,2018-12-01,2025-12-01,True,
Sabah | district_or_area | Kudat,Sabah,Kudat,district_or_area,85,3,0.5139510271059933,2018-12-01,2025-12-01,True,
Sabah | district_or_area | Kunak,Sabah,Kunak,district_or_area,85,2,0.10846522890932808,2018-12-01,2025-12-01,True,
Sabah | district_or_area | Lahad Datu,Sabah,Lahad Datu,district_or_area,85,9,1.6231000528348842,2018-12-01,2025-12-01,True,
Sabah | district_or_area | Nabawan,Sabah,Nabawan,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Sabah | district_or_area | Pitas,Sabah,Pitas,district_or_area,85,1,0.0,2018-12-01,2025-12-01,False,constant_series
Sabah | district_or_area | Putatan,Sabah,Putatan,district_or_area,85,2,0.3095130357961213,2018-12-01,2025-12-01,True,
