state,tourism_data_year,domestic_visitors,tourism_receipts_rm,tourism_growth_pct,spending_per_visitor_rm,tourism_intensity,google_search_interest,search_interest_growth_pct,population_000,socioeconomic_data_year,income_mean,income_median,gini,poverty,socioeconomic_data_age_years,latest_trend_index,forecast_trend_index,forecast_change_points,forecast_month,forecast_method,model_version,forecast_momentum_pct,visitor_growth_score,spending_value_score,forecast_momentum_score,search_growth_score,tourism_intensity_score,tourism_headroom_score,poverty_context_score,income_headroom_score,development_context_score,opportunity_score,pressure_score,decision_pattern,visitor_growth_contribution,spending_value_contribution,forecast_momentum_contribution,search_growth_contribution,tourism_headroom_contribution,development_context_contribution,top_opportunity_driver,tourism_intensity_contribution,top_pressure_driver
Johor,2025,18196973.0,8722924952.05821,6.17699919327068,479.361317514633,4.328387288599225,68.58333333333333,0.6112469437652672,4204.1,2024,8129.7,6855.9,0.3164,3.22,1,76.0,67.80133144238008,-8.198668557619925,2026-01-01,catboost_residual_hybrid,demand-hybrid-v1.0.0,-10.787721786342006,6.666666666666667,86.66666666666667,20.0,60.0,0.0,100.0,40.0,33.33333333333333,37.33333333333333,50.4,11.7,developing_or_early_signal,1.7,17.3,4.0,6.0,15.0,3.7,spending value,0.0,search-interest growth
Kedah,2025,15607884.0,5520250040.6148405,6.52763766144799,353.683435923463,7.008164878092587,48.41666666666666,1.3961605584642185,2227.1,2024,5547.5,4692.583333333333,0.321,7.908333333333334,1,49.0,43.47673615269167,-5.523263847308328,2026-01-01,catboost_residual_hybrid,demand-hybrid-v1.0.0,-11.271967035323119,13.333333333333334,20.0,13.333333333333334,66.66666666666666,33.33333333333333,66.66666666666666,73.33333333333333,73.33333333333333,73.33333333333333,36.7,27.7,developing_or_early_signal,3.3,4.0,2.7,6.7,10.0,7.3,search-interest growth,15.0,tourism intensity
Kelantan,2025,12062016.0,5239008276.17872,14.7188939066582,434.339357216797,6.325458073312706,54.5,-6.970128022759606,1906.9,2024,4765.454545454545,3846.909090909091,0.3256363636363636,12.945454545454544,1,47.0,48.00375726379121,1.0037572637912078,2026-01-01,catboost_residual_hybrid,demand-hybrid-v1.0.0,2.1356537527472503,60.0,66.66666666666666,73.33333333333333,33.33333333333333,26.666666666666668,73.33333333333333,93.33333333333333,100.0,96.0,65.6,45.0,emerging_opportunity,15.0,13.3,14.7,3.3,11.0,9.6,forecast momentum,12.0,visitor growth
Melaka,2025,20832201.530282,8732396493.44146,8.90715420486967,419.177804167644,19.802472937530418,54.41666666666666,-8.798882681564246,1052.0,2024,8280.666666666666,6708.0,0.3326666666666666,2.8000000000000003,1,60.0,56.70038408033796,-3.2996159196620454,2026-01-01,catboost_residual_hybrid,demand-hybrid-v1.0.0,-5.499359866103397,53.333333333333336,46.666666666666664,26.666666666666668,20.0,93.33333333333333,6.666666666666667,33.33333333333333,46.666666666666664,38.666666666666664,33.2,62.7,pressure_monitoring_priority,13.3,9.3,5.3,2.0,1.0,3.9,visitor growth,42.0,tourism intensity
Negeri Sembilan,2025,19356545.0,6529261939.25348,8.83921488628432,337.315463025735,15.561174531714766,58.083333333333336,3.4124629080118782,1243.9,2024,5920.285714285715,4725.0,0.3401428571428572,5.214285714285714,1,54.0,53.90242335778514,-0.0975766422148609,2026-01-01,catboost_residual_hybrid,demand-hybrid-v1.0.0,-0.18069748558307583,46.666666666666664,6.666666666666667,60.0,86.66666666666667,80.0,20.0,53.333333333333336,53.333333333333336,53.333333333333336,44.0,68.3,pressure_monitoring_priority,11.7,1.3,12.0,8.7,3.0,5.3,search-interest growth,36.0,tourism intensity
Pahang,2025,23161166.0,9846768924.63924,14.8077146900278,425.141330304322,13.812718272900764,52.25,4.674457429048419,1676.8,2024,5704.545454545455,4717.909090909091,0.2996363636363636,6.754545454545454,1,42.0,41.65069171709964,-0.3493082829003597,2026-01-01,catboost_residual_hybrid,demand-hybrid-v1.0.0,-0.8316863878579994,66.66666666666666,53.333333333333336,53.333333333333336,93.33333333333333,73.33333333333333,26.666666666666668,66.66666666666666,60.0,63.99999999999999,59.1,69.7,pressure_monitoring_priority,16.7,10.7,10.7,9.3,4.0,6.4,search-interest growth,33.0,tourism intensity
Perak,2025,23642055.0,8018537983.06468,8.56823754098335,339.164170926118,9.18566127904266,61.75,-9.302325581395344,2573.8,2024,5722.5,4456.166666666667,0.3513333333333333,8.975,1,56.0,64.22935738948554,8.229357389485543,2026-01-01,catboost_residual_hybrid,demand-hybrid-v1.0.0,14.695281052652756,33.33333333333333,13.333333333333334,93.33333333333333,13.333333333333334,46.666666666666664,53.333333333333336,80.0,80.0,80.0,46.0,49.3,developing_or_early_signal,8.3,2.7,18.7,1.3,8.0,8.0,forecast momentum,21.0,tourism intensity
Perlis,2025,3755682.0,1211203826.70128,16.4398027176548,322.499036580115,12.64539393939394,57.75,-3.616133518776074,297.0,2022,5664.0,4713.0,0.336,4.0,3,65.0,55.846787732581625,-9.153212267418375,2026-01-01,catboost_residual_hybrid,demand-hybrid-v1.0.0,-14.0818650267975,80.0,0.0,6.666666666666667,46.666666666666664,66.66666666666666,33.33333333333333,46.666666666666664,66.66666666666666,54.66666666666666,34.8,56.0,developing_or_early_signal,20.0,0.0,1.3,4.7,5.0,5.5,visitor growth,30.0,tourism intensity
Pulau Pinang,2025,17717979.0,8490358163.793109,6.70393981789486,479.19450428252,9.819863104805188,47.66666666666666,-10.625000000000009,1804.3,2024,10112.0,8332.0,0.383,0.4,1,45.0,43.65086901446787,-1.3491309855321276,2026-01-01,catboost_residual_hybrid,demand-hybrid-v1.0.0,-2.9980688567380613,20.0,80.0,40.0,6.666666666666667,53.333333333333336,46.666666666666664,6.666666666666667,20.0,12.0,37.2,37.7,developing_or_early_signal,5.0,16.0,8.0,0.7,7.0,1.2,spending value,24.0,tourism intensity
Sabah,2025,22361168.0,9753327383.9687,8.5925168415234,436.172537318655,5.955831135970169,67.45833333333333,2.598225602027876,3754.5,2024,5667.111111111111,4421.037037037037,0.358074074074074,22.05185185185185,1,41.0,65.08647244577605,24.086472445776053,2026-01-01,catboost_residual_hybrid,demand-hybrid-v1.0.0,58.7474937701855,40.0,73.33333333333333,100.0,73.33333333333333,13.333333333333334,86.66666666666667,100.0,86.66666666666667,94.66666666666667,76.1,43.3,emerging_opportunity,10.0,14.7,20.0,7.3,13.0,9.5,forecast momentum,6.0,forecast momentum
