state,district,year,population_000,income_mean,income_median,expenditure_mean,gini,poverty,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio,gdp_real_p0,google_trend_annual_avg,google_trend_yoy_change
Johor,Batu Pahat,2020,495.3,,,,,,253.3,247.8,5.5,105.2,70.6,2.2,69.1,14327.8642,11.5,
Johor,Batu Pahat,2021,497.2,,,,,,250.2,244.5,5.7,109.5,69.6,2.3,68.0,,11.333333333333334,-0.16666666666666607
Johor,Batu Pahat,2022,497.5,7419.0,6347.0,4570.0,0.338,5.1,253.3,248.8,4.5,107.2,70.3,1.8,69.0,,16.833333333333332,5.499999999999998
Johor,Batu Pahat,2023,504.0,,,,,,258.7,255.0,3.7,108.4,70.5,1.4,69.5,,14.083333333333334,-2.7499999999999982
Johor,Batu Pahat,2024,510.1,9006.0,7555.0,5153.0,0.316,2.4,263.6,260.2,3.4,108.2,70.9,1.3,70.0,,11.083333333333334,-3.0
Johor,Batu Pahat,2025,511.8,,,,,,,,,,,,,,10.0,-1.083333333333334
Johor,Johor Bahru,2020,1711.2,,,,,,853.8,819.0,34.9,311.1,73.3,4.1,70.3,64279.001,,
Johor,Johor Bahru,2021,1715.4,,,,,,855.7,820.4,35.3,307.5,73.6,4.1,70.5,,,
Johor,Johor Bahru,2022,1723.7,9869.0,8232.0,6139.0,0.358,3.7,869.7,838.5,31.3,302.3,74.2,3.6,71.5,,,
Johor,Johor Bahru,2023,1761.6,,,,,,897.3,871.2,26.1,308.5,74.4,2.9,72.3,,,
Johor,Johor Bahru,2024,1799.1,10975.0,8977.0,6764.0,0.35,1.9,921.3,896.3,25.0,314.1,74.6,2.7,72.6,,,
Johor,Johor Bahru,2025,1814.4,,,,,,,,,,,,,,,
Johor,Kluang,2020,323.8,,,,,,165.4,158.4,7.0,65.5,71.6,4.2,68.6,9133.62,5.583333333333333,
Johor,Kluang,2021,325.3,,,,,,167.1,159.6,7.5,65.2,71.9,4.5,68.7,,4.833333333333333,-0.75
Johor,Kluang,2022,323.5,6461.0,5204.0,4399.0,0.354,7.2,167.9,161.3,6.6,64.1,72.4,3.9,69.5,,6.833333333333333,2.0
Johor,Kluang,2023,328.7,,,,,,172.5,167.0,5.5,65.2,72.6,3.2,70.3,,6.833333333333333,0.0
Johor,Kluang,2024,333.7,6616.0,6158.0,4748.0,0.292,5.7,176.6,171.6,5.0,66.6,72.6,2.8,70.6,,5.666666666666667,-1.166666666666666
Johor,Kluang,2025,335.2,,,,,,,,,,,,,,5.75,0.08333333333333304
Johor,Kota Tinggi,2020,222.4,,,,,,110.7,106.9,3.8,47.2,70.1,3.4,67.7,6356.232,72.58333333333333,
Johor,Kota Tinggi,2021,223.6,,,,,,111.5,107.2,4.3,46.6,70.5,3.9,67.8,,73.91666666666667,1.3333333333333428
Johor,Kota Tinggi,2022,224.9,7529.0,6227.0,4498.0,0.343,5.0,113.4,109.6,3.9,45.6,71.3,3.4,68.9,,72.58333333333333,-1.3333333333333428
Johor,Kota Tinggi,2023,229.3,,,,,,116.2,113.0,3.2,46.2,71.5,2.8,69.6,,66.25,-6.333333333333329
Johor,Kota Tinggi,2024,233.5,8106.0,6284.0,4949.0,0.379,4.2,119.6,116.7,2.9,46.3,72.1,2.4,70.3,,54.083333333333336,-12.166666666666664
Johor,Kota Tinggi,2025,234.7,,,,,,,,,,,,,,51.583333333333336,-2.5
Johor,Kulai,2020,329.5,,,,,,161.1,155.6,5.5,79.6,66.9,3.4,64.6,10526.6583,5.5,
Johor,Kulai,2021,328.2,,,,,,157.1,151.3,5.7,81.8,65.8,3.6,63.3,,4.666666666666667,-0.833333333333333
Johor,Kulai,2022,329.2,9177.0,7460.0,5646.0,0.337,0.4,159.1,154.0,5.1,80.9,66.3,3.2,64.2,,8.166666666666666,3.499999999999999
Johor,Kulai,2023,340.3,,,,,,165.9,161.6,4.3,83.6,66.5,2.6,64.8,,7.083333333333333,-1.083333333333333
Johor,Kulai,2024,351.3,10296.0,8406.0,6254.0,0.319,0.1,173.3,169.4,3.9,86.2,66.8,2.3,65.3,,6.25,-0.833333333333333
Johor,Kulai,2025,353.0,,,,,,,,,,,,,,6.083333333333333,-0.16666666666666696
Johor,Mersing,2020,78.2,,,,,,33.8,32.6,1.1,21.6,61.0,3.3,58.8,1851.2352,47.916666666666664,
Johor,Mersing,2021,78.8,,,,,,33.2,32.0,1.2,22.4,59.7,3.5,57.6,,36.5,-11.416666666666664
Johor,Mersing,2022,79.1,5426.0,4445.0,4032.0,0.339,12.7,33.6,32.6,1.0,22.2,60.3,2.9,58.4,,48.75,12.25
Johor,Mersing,2023,80.1,,,,,,34.3,33.5,0.8,22.4,60.4,2.4,59.1,,40.0,-8.75
Johor,Mersing,2024,81.0,6014.0,5335.0,4274.0,0.263,6.7,35.4,34.7,0.7,22.3,61.3,2.0,60.1,,39.0,-1.0
Johor,Mersing,2025,81.4,,,,,,,,,,,,,,38.583333333333336,-0.4166666666666643
Johor,Muar,2020,314.8,,,,,,151.6,148.1,3.5,71.5,68.0,2.3,66.4,7204.5068,12.083333333333334,
Johor,Muar,2021,315.8,,,,,,152.5,148.7,3.9,71.6,68.0,2.5,66.4,,11.333333333333334,-0.75
Johor,Muar,2022,314.0,7572.0,5724.0,4740.0,0.394,6.1,153.6,150.1,3.5,69.7,68.8,2.3,67.2,,16.583333333333332,5.249999999999998
Johor,Muar,2023,318.7,,,,,,157.7,154.8,2.9,70.9,69.0,1.8,67.7,,13.416666666666666,-3.166666666666666
Johor,Muar,2024,323.2,8401.0,7334.0,5541.0,0.306,2.1,161.4,158.7,2.6,71.2,69.4,1.6,68.2,,11.833333333333334,-1.5833333333333321
Johor,Muar,2025,323.9,,,,,,,,,,,,,,10.583333333333334,-1.25
Johor,Pontian,2020,173.3,,,,,,82.0,78.7,3.3,41.1,66.6,4.0,63.9,4301.9548,7.0,
Johor,Pontian,2021,174.2,,,,,,80.9,77.2,3.7,42.6,65.5,4.5,62.5,,7.333333333333333,0.33333333333333304
Johor,Pontian,2022,173.6,6913.0,5616.0,4535.0,0.361,5.1,81.5,78.6,2.9,41.8,66.1,3.6,63.7,,8.416666666666666,1.083333333333333
Johor,Pontian,2023,175.8,,,,,,83.1,80.7,2.4,42.3,66.3,2.9,64.4,,7.75,-0.6666666666666661
Johor,Pontian,2024,177.9,7011.0,5685.0,4856.0,0.341,2.0,84.4,82.2,2.1,42.4,66.6,2.5,64.8,,7.75,0.0
Johor,Pontian,2025,177.9,,,,,,,,,,,,,,6.333333333333333,-1.416666666666667
Johor,Segamat,2020,197.8,,,,,,103.2,99.5,3.7,42.6,70.8,3.6,68.2,4922.139,3.0,
Johor,Segamat,2021,197.4,,,,,,101.9,97.9,4.0,43.3,70.2,3.9,67.4,,2.75,-0.25
Johor,Segamat,2022,198.2,6578.0,5318.0,4426.0,0.34,7.4,103.3,99.7,3.6,43.1,70.6,3.5,68.1,,5.166666666666667,2.416666666666667
Johor,Segamat,2023,201.6,,,,,,105.9,102.9,3.0,43.7,70.8,2.9,68.8,,4.583333333333333,-0.5833333333333339
Johor,Segamat,2024,205.1,7348.0,6451.0,4870.0,0.292,3.1,108.9,106.2,2.8,43.9,71.3,2.5,69.5,,3.6666666666666665,-0.9166666666666665
Johor,Segamat,2025,204.3,,,,,,,,,,,,,,3.9166666666666665,0.25
Johor,Tangkak,2020,163.4,,,,,,76.0,73.9,2.1,41.6,64.6,2.8,62.8,5170.3524,2.0,
Johor,Tangkak,2021,164.0,,,,,,76.7,74.3,2.3,41.6,64.8,3.0,62.8,,2.0,0.0
Johor,Tangkak,2022,164.6,7093.0,5622.0,4198.0,0.371,6.9,77.9,76.0,1.9,41.5,65.2,2.4,63.7,,3.0,1.0
Johor,Tangkak,2023,167.1,,,,,,79.9,78.3,1.5,42.2,65.4,1.9,64.1,,2.75,-0.25
Johor,Tangkak,2024,169.4,7524.0,6374.0,4673.0,0.306,4.0,82.0,80.6,1.4,42.3,65.9,1.7,64.8,,2.75,0.0
Johor,Tangkak,2025,169.2,,,,,,,,,,,,,,2.8333333333333335,0.08333333333333348
Kedah,Baling,2020,142.6,,,,,,63.2,60.8,2.4,30.4,67.5,3.8,65.0,1525.7974,0.9166666666666666,
Kedah,Baling,2021,144.2,,,,,,63.9,61.9,2.0,30.4,67.8,3.1,65.6,,0.6666666666666666,-0.25
Kedah,Baling,2022,144.9,4263.0,3400.0,2732.0,0.347,14.4,64.7,63.2,1.4,30.1,68.2,2.2,66.7,,1.0833333333333333,0.41666666666666663
Kedah,Baling,2023,146.7,,,,,,66.4,64.9,1.4,29.3,69.4,2.2,67.8,,1.0,-0.08333333333333326
Kedah,Baling,2024,148.1,4345.0,3367.0,3041.0,0.324,14.7,68.2,67.0,1.2,28.7,70.4,1.8,69.1,,1.0,0.0
Kedah,Baling,2025,149.0,,,,,,,,,,,,,,0.9166666666666666,-0.08333333333333337
Kedah,Bandar Baharu,2020,44.4,,,,,,20.6,19.7,0.9,8.7,70.3,4.6,67.2,625.6151,0.0,
Kedah,Bandar Baharu,2021,44.4,,,,,,20.6,19.7,0.9,8.9,69.9,4.3,66.8,,0.0,0.0
Kedah,Bandar Baharu,2022,44.7,4565.0,3922.0,2751.0,0.291,3.9,20.9,20.3,0.6,8.8,70.5,3.1,68.4,,0.0,0.0
Kedah,Bandar Baharu,2023,45.1,,,,,,21.5,20.9,0.6,8.5,71.7,3.0,69.7,,0.0,0.0
Kedah,Bandar Baharu,2024,45.6,4835.0,4310.0,3006.0,0.339,5.8,21.9,21.4,0.5,8.6,71.8,2.5,70.2,,0.0,0.0
Kedah,Bandar Baharu,2025,45.6,,,,,,,,,,,,,,0.0,0.0
Kedah,Kota Setar,2020,374.1,,,,,,154.2,146.3,7.9,93.9,62.2,5.1,59.0,11000.6288,0.16666666666666666,
Kedah,Kota Setar,2021,376.3,,,,,,154.0,146.7,7.3,95.6,61.7,4.7,58.8,,0.0,-0.16666666666666666
Kedah,Kota Setar,2022,376.8,5959.0,4751.0,4253.0,0.348,5.1,155.5,149.7,5.8,94.8,62.1,3.7,59.8,,0.08333333333333333,0.08333333333333333
Kedah,Kota Setar,2023,379.3,,,,,,159.3,153.4,5.8,92.8,63.2,3.7,60.8,,0.0,-0.08333333333333333
Kedah,Kota Setar,2024,381.7,6034.0,5208.0,4495.0,0.328,5.5,162.6,157.4,5.3,92.1,63.8,3.2,61.8,,0.0,0.0
Kedah,Kota Setar,2025,383.4,,,,,,,,,,,,,,0.08333333333333333,0.08333333333333333
Kedah,Kuala Muda,2020,545.0,,,,,,223.9,215.6,8.3,146.1,60.5,3.7,58.3,11337.9669,0.0,
Kedah,Kuala Muda,2021,546.3,,,,,,226.3,218.6,7.8,144.3,61.1,3.4,59.0,,0.0,0.0
Kedah,Kuala Muda,2022,550.5,5624.0,4200.0,3840.0,0.404,13.8,229.8,223.9,5.9,144.1,61.5,2.6,59.9,,0.0,0.0
Kedah,Kuala Muda,2023,560.3,,,,,,238.0,232.1,6.0,142.7,62.5,2.5,61.0,,0.0,0.0
Kedah,Kuala Muda,2024,571.3,5729.0,4953.0,3869.0,0.333,11.8,244.5,239.1,5.5,144.9,62.8,2.2,61.4,,0.0,0.0
Kedah,Kuala Muda,2025,574.7,,,,,,,,,,,,,,0.0,0.0
Kedah,Kubang Pasu,2020,237.8,,,,,,97.6,93.8,3.8,59.0,62.3,3.9,59.9,3553.6538,0.0,
Kedah,Kubang Pasu,2021,248.7,,,,,,101.7,98.0,3.7,61.7,62.2,3.7,60.0,,0.0,0.0
Kedah,Kubang Pasu,2022,249.7,6221.0,5201.0,4062.0,0.325,3.3,103.5,100.6,2.9,60.8,63.0,2.8,61.2,,0.0,0.0
Kedah,Kubang Pasu,2023,251.5,,,,,,106.1,103.2,2.9,59.5,64.1,2.7,62.3,,0.0,0.0
Kedah,Kubang Pasu,2024,253.3,6313.0,5312.0,4478.0,0.317,4.0,109.4,106.8,2.6,58.3,65.3,2.4,63.7,,0.0,0.0
Kedah,Kubang Pasu,2025,254.2,,,,,,,,,,,,,,0.0,0.0
Kedah,Kulim,2020,337.7,,,,,,152.2,146.9,5.4,78.8,65.9,3.5,63.6,10659.2995,0.08333333333333333,
Kedah,Kulim,2021,339.0,,,,,,155.0,150.1,4.9,76.9,66.8,3.1,64.7,,0.4166666666666667,0.33333333333333337
Kedah,Kulim,2022,341.3,5636.0,4498.0,3647.0,0.359,11.4,156.9,153.5,3.5,76.5,67.2,2.2,65.8,,0.8333333333333334,0.4166666666666667
Kedah,Kulim,2023,346.4,,,,,,162.0,158.4,3.5,74.9,68.4,2.2,66.9,,0.8333333333333334,0.0
Kedah,Kulim,2024,352.2,6395.0,5236.0,4054.0,0.349,8.5,166.4,163.2,3.2,74.8,69.0,1.9,67.7,,0.6666666666666666,-0.16666666666666674
Kedah,Kulim,2025,354.0,,,,,,,,,,,,,,0.6666666666666666,0.0
Kedah,Langkawi,2020,94.1,,,,,,43.8,40.8,3.0,19.8,68.9,6.9,64.2,2415.9042,54.75,
Kedah,Langkawi,2021,95.1,,,,,,44.4,41.1,3.3,19.4,69.5,7.3,64.4,,50.083333333333336,-4.666666666666664
Kedah,Langkawi,2022,96.4,6087.0,5250.0,3680.0,0.302,5.7,45.0,42.4,2.6,19.3,70.0,5.8,65.9,,62.75,12.666666666666664
Kedah,Langkawi,2023,98.0,,,,,,46.3,43.7,2.6,18.8,71.2,5.7,67.1,,53.25,-9.5
Kedah,Langkawi,2024,99.8,6278.0,5083.0,4356.0,0.335,6.0,48.1,45.7,2.4,18.1,72.6,4.9,69.0,,41.5,-11.75
Kedah,Langkawi,2025,100.5,,,,,,,,,,,,,,43.666666666666664,2.1666666666666643
Kedah,Padang Terap,2020,65.7,,,,,,28.5,27.4,1.2,14.5,66.3,4.0,63.7,868.0232,0.0,
Kedah,Padang Terap,2021,66.4,,,,,,29.3,28.2,1.1,14.3,67.2,3.6,64.7,,0.0,0.0
Kedah,Padang Terap,2022,66.5,4858.0,3902.0,3751.0,0.323,8.9,29.5,28.6,0.9,14.1,67.7,3.0,65.6,,0.0,0.0
Kedah,Padang Terap,2023,67.1,,,,,,30.2,29.3,0.9,13.7,68.9,3.0,66.7,,0.0,0.0
Kedah,Padang Terap,2024,67.7,5062.0,3954.0,3872.0,0.292,8.0,31.3,30.5,0.8,13.2,70.3,2.5,68.5,,0.0,0.0
Kedah,Padang Terap,2025,67.9,,,,,,,,,,,,,,0.0,0.0
Kedah,Pendang,2020,98.9,,,,,,41.9,39.9,2.0,22.6,64.9,4.7,61.9,1260.1074,2.25,
Kedah,Pendang,2021,99.3,,,,,,41.8,39.5,2.3,23.1,64.4,5.5,60.9,,2.4166666666666665,0.16666666666666652
Kedah,Pendang,2022,99.8,4986.0,3801.0,3562.0,0.349,7.3,42.3,40.5,1.8,23.0,64.8,4.3,62.0,,4.25,1.8333333333333335
Kedah,Pendang,2023,100.7,,,,,,43.4,41.5,1.8,22.4,65.9,4.2,63.1,,3.9166666666666665,-0.3333333333333335
Kedah,Pendang,2024,101.5,5464.0,4592.0,3914.0,0.347,7.3,44.6,43.0,1.6,22.0,66.9,3.5,64.6,,3.25,-0.6666666666666665
Kedah,Pendang,2025,102.0,,,,,,,,,,,,,,2.8333333333333335,-0.4166666666666665
Kedah,Pokok Sena,2020,49.8,,,,,,22.0,20.9,1.0,10.9,66.9,4.7,63.5,1503.4751,0.0,
Kedah,Pokok Sena,2021,50.0,,,,,,22.1,21.2,0.9,11.0,66.7,4.1,64.0,,0.0,0.0
Kedah,Pokok Sena,2022,50.0,5494.0,4668.0,4033.0,0.31,7.2,22.3,21.6,0.7,10.9,67.2,3.1,65.1,,0.0,0.0
Kedah,Pokok Sena,2023,50.5,,,,,,22.8,22.1,0.7,10.6,68.3,3.0,66.2,,0.0,0.0
Kedah,Pokok Sena,2024,51.0,5736.0,5163.0,4257.0,0.27,7.2,23.5,22.9,0.6,10.3,69.4,2.5,67.8,,0.0,0.0
Kedah,Pokok Sena,2025,51.2,,,,,,,,,,,,,,0.0,0.0
Kedah,Sik,2020,67.9,,,,,,27.3,26.5,0.9,17.1,61.5,3.1,59.7,560.6324,0.6666666666666666,
Kedah,Sik,2021,68.3,,,,,,27.5,26.6,0.9,17.3,61.4,3.3,59.4,,1.0833333333333333,0.41666666666666663
Kedah,Sik,2022,68.6,5053.0,3703.0,3530.0,0.333,4.0,27.8,27.1,0.7,17.2,61.8,2.4,60.2,,2.25,1.1666666666666667
Kedah,Sik,2023,69.3,,,,,,28.5,27.9,0.7,16.8,62.9,2.3,61.6,,2.75,0.5
Kedah,Sik,2024,70.1,5107.0,4438.0,3675.0,0.325,8.7,29.4,28.8,0.6,16.5,64.0,2.0,62.7,,2.1666666666666665,-0.5833333333333335
Kedah,Sik,2025,70.5,,,,,,,,,,,,,,2.75,0.5833333333333335
Kedah,Yan,2020,73.4,,,,,,29.2,28.4,0.8,18.7,60.9,2.7,59.3,731.354,8.333333333333334,
Kedah,Yan,2021,73.6,,,,,,29.3,28.4,0.9,19.0,60.7,3.1,58.8,,8.333333333333334,0.0
Kedah,Yan,2022,73.8,4637.0,4080.0,3339.0,0.291,6.0,29.8,29.1,0.7,18.9,61.1,2.3,59.8,,7.666666666666667,-0.666666666666667
Kedah,Yan,2023,74.3,,,,,,30.6,29.9,0.7,18.6,62.2,2.2,60.8,,7.166666666666667,-0.5
Kedah,Yan,2024,74.7,5272.0,4695.0,3859.0,0.293,7.4,31.4,30.8,0.6,18.4,63.0,1.9,61.8,,7.25,0.08333333333333304
Kedah,Yan,2025,75.1,,,,,,,,,,,,,,7.916666666666667,0.666666666666667
Kelantan,Bachok,2020,157.3,,,,,,56.3,54.2,2.1,48.2,53.9,3.8,51.9,1851.5688,2.5,
Kelantan,Bachok,2021,158.9,,,,,,56.5,54.5,2.0,49.1,53.5,3.5,51.6,,2.8333333333333335,0.3333333333333335
Kelantan,Bachok,2022,160.7,4811.0,3625.0,3282.0,0.374,12.1,57.1,55.3,1.8,49.5,53.6,3.1,51.9,,3.75,0.9166666666666665
Kelantan,Bachok,2023,163.1,,,,,,59.1,57.2,1.8,49.5,54.4,3.1,52.7,,2.75,-1.0
Kelantan,Bachok,2024,165.5,5149.0,4187.0,3579.0,0.349,11.3,60.6,58.7,1.9,50.0,54.8,3.2,53.1,,3.1666666666666665,0.4166666666666665
Kelantan,Bachok,2025,167.6,,,,,,,,,,,,,,1.75,-1.4166666666666665
Kelantan,Gua Musang,2020,101.9,,,,,,30.9,29.7,1.2,30.0,50.8,3.9,48.8,1629.4192,1.8333333333333333,
Kelantan,Gua Musang,2021,102.5,,,,,,30.3,29.1,1.1,30.5,49.8,3.8,47.9,,0.5,-1.3333333333333333
Kelantan,Gua Musang,2022,104.0,4473.0,3342.0,3625.0,0.36,18.5,31.1,30.0,1.1,30.7,50.3,3.5,48.5,,2.8333333333333335,2.3333333333333335
Kelantan,Gua Musang,2023,107.2,,,,,,33.1,32.0,1.1,31.8,50.9,3.3,49.3,,2.75,-0.08333333333333348
Kelantan,Gua Musang,2024,110.5,4684.0,3871.0,3726.0,0.302,16.3,35.1,33.9,1.2,33.3,51.3,3.3,49.6,,2.1666666666666665,-0.5833333333333335
Kelantan,Gua Musang,2025,111.3,,,,,,,,,,,,,,2.0833333333333335,-0.08333333333333304
