state,year,domestic_visitors_000,tourism_receipts_rm_million,tourism_trips_000,tourism_growth_pct,spending_per_visitor_rm,trips_per_visitor,tourism_intensity,tourism_value_growth_pct,local_prosperity_context,income_mean,income_median,expenditure_mean,gini,poverty,google_search_interest,search_interest_growth_pct,digital_interest_trend,emerging_viral_destination,opportunity_pattern,pressure_pattern,average_length_of_stay,population_000,avg_receipts_per_trip_rm,tourism_receipts_rm,domestic_visitors,visitors_2019_000,receipts_2019_rm_million,search_2019,visitor_recovery_vs_2019_pct,receipt_recovery_vs_2019_pct,visitor_cagr_2019_2025_pct,receipt_cagr_2019_2025_pct
W.P. Labuan,2025,604.0,379.0,681.0,34.41,628.0,1.1274834437086092,5.986124876114965,43.36,not_available,,,,,,80.25,8.323959505061875,increasing,not_flagged,positive_momentum,no_pressure_signal,2.51,100.9,557.0,379000000.0,604000.0,524.0,392.0,59.75,115.2671755725191,96.68367346938776,2.3963026401471854,-0.5605171197063052
Pahang,2025,23161.166,9846.76892463924,25285.2635929909,14.8077146900278,425.141330304322,1.0917094412686692,13.812718272900764,13.054434353511,not_available,,,,,,52.25,4.674457429048419,stable,not_flagged,positive_momentum,possible_pressure,2.20889169822045,1676.8,389.4271811099,9846768924.63924,23161166.0,18497.5783549097,7600.74634258733,60.5,125.21188209402814,129.55002681075334,3.8183822653668598,4.409396269877508
Negeri Sembilan,2025,19356.545,6529.26193925348,24064.3142989688,8.83921488628432,337.315463025735,1.2432133058337012,15.561174531714766,11.2412312305569,not_available,,,,,,58.083333333333336,3.4124629080118782,stable,not_flagged,positive_momentum,possible_pressure,2.29491785206345,1243.9,271.325492932631,6529261939.25348,19356545.0,13303.0418435376,5071.03036849894,48.333333333333336,145.50465395553945,128.75611985708116,6.45011805226845,4.302482876881686
W.P. Kuala Lumpur,2025,35060.0,16906.0,36169.0,29.93,482.0,1.031631488876212,16.894757131842717,20.09,not_available,,,,,,82.66666666666667,3.1185031185031185,stable,not_flagged,positive_momentum,possible_pressure,2.33,2075.2,467.0,16906000000.0,35060000.0,22633.0,12141.0,92.33333333333331,154.90655237926921,139.24717898031466,7.566812147727386,5.673088553028083
Sabah,2025,22361.168,9753.3273839687,26440.7605734467,8.5925168415234,436.172537318655,1.1824409428633915,5.955831135970169,12.9609528837934,not_available,,,,,,67.45833333333333,2.598225602027876,stable,not_flagged,positive_momentum,no_pressure_signal,3.14553107015999,3754.5,368.874690910501,9753327383.9687,22361168.0,22035.0674727792,8080.66670997202,82.08333333333333,101.47991617281701,120.69953797169384,0.24514536935618114,3.185245378584134
Kedah,2025,15607.884,5520.25004061484,17650.0664675874,6.52763766144799,353.683435923463,1.1308430064951405,7.008164878092587,11.2695600402782,not_available,,,,,,48.41666666666666,1.3961605584642185,stable,not_flagged,positive_momentum,no_pressure_signal,2.8191254738061,2227.1,312.760864144746,5520250040.6148405,15607884.0,14831.1555133218,5208.13192969844,48.91666666666666,105.23714073377842,105.99289947200843,0.8543976657746644,0.974752056172834
Johor,2025,18196.973,8722.92495205821,21246.6601716389,6.17699919327068,479.361317514633,1.16759310307483,4.328387288599225,11.6260653512185,not_available,,,,,,68.58333333333333,0.6112469437652672,stable,not_flagged,positive_momentum,no_pressure_signal,2.67977442484637,4204.1,410.555112266633,8722924952.05821,18196973.0,14274.3642667527,7409.67789125131,71.58333333333333,127.48009410397134,117.72340282642335,4.1294870989629695,2.7567755366838753
Sarawak,2025,22721.527,9138.37553459759,26387.9678248999,15.775225073924,402.19020203165,1.161364191099476,8.984747123255168,14.8517497432815,not_available,,,,,,47.16666666666666,-2.0761245674740487,stable,not_flagged,monitor,no_pressure_signal,3.10314238263994,2528.9,346.308423416166,9138375534.59759,22721527.0,19793.3756868456,8670.74332850991,48.66666666666666,114.79359235878297,105.39321933968542,2.3260652481443156,0.8793120242466701
Perlis,2025,3755.682,1211.20382670128,4335.24011103116,16.4398027176548,322.499036580115,1.1543150115028804,12.64539393939394,20.7805388474205,not_available,,,,,,57.75,-3.616133518776074,stable,not_flagged,monitor,high_intensity_monitor,2.24678266562286,297.0,279.38563855306,1211203826.70128,3755682.0,2087.37244564133,578.805530778065,57.41666666666666,179.92390422908423,209.25920059421466,10.28458443908573,13.096047393679555
Selangor,2025,36376.442,15761.7254823629,40803.4992333148,5.55881580033981,433.294863812215,1.1217012162243574,4.909962881477183,10.7942238330377,not_available,,,,,,39.833333333333336,-4.016064257028107,stable,not_flagged,monitor,no_pressure_signal,2.31387210011661,7408.7,386.283671217442,15761725482.3629,36376442.0,33588.5269586995,15544.408509962,34.666666666666664,108.3002003771363,101.39803950894384,1.3378167184733947,0.23166076570080296
